,Textos_evasao,Textos_traduzidos
0,"consegui passar em outra universidade, em uma cidade com muito mais oportunidades de estágio e emprego na área.","I got passed in  another university, in a city with much more internship and job opportunities in the area."
1,adaptacao ,adaptation
2,acabei desistindo da área. virei concurseiro ,I ended up giving up the area. I will take civil services exams
3,professores dificultam muito a nossa estadia na faculdade,Teachers make it very difficult for us to stay in college
4,a greve que ocorreu na época. ,The strike that occurred at the time.
5,"eu não consegui prosseguir. o icea cobra muito e ensina pouco! utiliza como paramento de conhecimento alunos que vieram de escolas particulares, e esquecem que o sistema publico esta defasado em conhecimento.","I didn't get continue. ICEA charges a lot and teaches little! It uses students who came from private schools as a parameter of knowledge, and they forget that the public system is lagging behind in knowledge."
6,muita greve!,Too much strike!
7,aprovação em outra universidade (ufmg).,Approval at another university (UFMG).
8,dificuldade em conciliar trabalho e estudos,Difficulty in reconciling work and studies
9,passar em uma universidade maior,Pass at a bigger university
10,"desligamento por baixo rendimento, devido a problemas psicológicos causados por desmotivação em relação ao curso.",Low-performance shutdown due to psychological problems caused by demotivation in relation to the course.
11,falta de didatica de alguns professores.,Lack of didactics by some teachers.
12,joao monlevade,Joao Monlevade
13,observação: cenário é com “c”.,Note: Scenario is with “C”.
14,mudança de curso e faculdade,Change of course and university
15,mudei para puc-mg e comecei a trabalhar na cemig. ,I moved to PUC-MG and started working at Cemig.
16,aprovação em minha primeira opção de curso no sisu.,Approval on my first course option at Sisu.
17,- o ambiente em sala de aula me desmotivava.,- The classroom environment discouraged me.
18,desinteresse por causa de reprovações,Desinterest due to disapprovals
19,distância de casa e não pertencimento a cidade de monlevade,Distance from home and not belonging to the city of Monlevade
20,oportunidade de cursar uma federal em minha cidade ,Opportunity to attend a Federal University in my city
21,"falta de professores competentes e muitas greves, além das reformas q duraram todo o tempo do curso","Lack of competent teachers and many strikes, in addition to the reforms that lasted throughout the course"
22,meu filho nasceu. =),My son was born. =)
23,greves constantes e quando retornava nao havia coro suficiente para todos os alunos ,Constant strikes and when i returned there was not enough choir for all students
24,"eu tenho tdah, não sabia disso na época, e não conseguia render nos estudos.","I have ADHD, I didn't know it at the time, and I couldn't get well in my studies."
25,distancia entre a faculdade e minha casa,Distance between college and my home
26,dificuldade de alugar imóvel sem burocracia como fiador.,Difficulty in renting property without bureaucracy as guarantor.
27,dificuldades em algoritmos e estruturas de dados,Difficulties in Algorithms and Data Structures
28,reprovações sucessivas.,Successive failures.
29,não estava gostando do curso e surgiu a oportunidade de fazer um curso diferente e mais próximo da minha cidade,I didn't like the course and the opportunity arose to take a different course closer to my city
30,"os professores não ensinam, a grande maioria, salvo alguns, demonstram desinteresse em relação ao aprendizado dos alunos e em ensinar, são sarcásticos e, devido ao cargo em uma ief, se mostram sentido-se como superiores em relação à outros professores.","Teachers do not teach, the vast majority, except for a few, show disinterest in the learning of students and in teaching, are sarcastic and, due to their position in an IEF, show themselves to be superior to other teachers."
31,"a péssima didática de alguns professores, e em alguns casos a má vontade do mesmo em saber ensinar... deixando na maioria das ocasiões o ensino por conta do tutor/monitor.","The terrible didactics of some teachers, and in some cases their unwillingness to teach ... Leaving most of the time the teaching on behalf of the tutor / monitor."
32,falta de aproveitamento do rendimento de outra faculdade para transferência,Lack of yield utilization of another faculty for transfer
33,voltei pra area que sempre gostei e trabalhei,I came back to the area that I always liked and worked
34,estar longe de casa com baixo suporte financeiro.,Being away from home with low financial support.
35,dificuldade em conciliar trabalho e estudo.,Difficulty in reconciling work and study.
36,a dificuldade em relação a matéria principal do curso.,The difficulty in relation to the main subject of the course.
37,"fiz vestibular e passei em curso semelhante na unifei, não estava gostando das instalações da ufop em monlevade. ","I took the entrance exam and passed a similar course at UNIFEI, I didn't like UFOP's facilities in Monlevade."
38,quem tem um lindo especial na família sabe como é... ,Who has a beautiful special in the family knows how it is ...
39,proximidade da outra faculdade com a cidade atual dos pais,Proximity of the other college to the current city of the parents
40,criação da minha própria empresa durante a graduação.,Creation of my own company during graduation.
41,aprovação em concurso.,Competition approval.
42,"entrei em ec e sai, depois de 2 anos voltei em ep e larguei de novo esse periodo.","I entered computer engineering and left, after 2 years I returned to production engineering and left that period again."
43,falta de perspectiva ,Lack of perspective
44,imaturidade do curso,Course immaturity
45,minha matrícula foi cancelada de forma injusta pois apresentei todos os documentos necessários e após 3 meses que já estava estudando minha matrícula foi cancelada ,My registration was canceled unfairly because I presented all the necessary documents and after 3 months that I was already studying my registration was canceled
46,"passei em uma faculdade da minha cidade, no mesmo curso","I have passed in a college in my city, on the same course"
47,didática ruim (exceto na disciplina de introdução a engenharia da computação) e muita cobrança nas provas. ,Bad didactics (except in the introductory discipline to computer engineering) and a lot of demands on tests.
48,a depressão me levou a ter desinteresse pelo curso e por todo o resto.,The depression caused me to be disinterested in the course and everything else.
49,"professores sem compromisso de ensinar, que tem prazer em dar nota baixar mas não tem boa vontade de ensinar. ","Teachers with no commitment to teaching, who are happy to grade down but have no good will to teach."
50,infelicidade e dificuldade no neu curso.,Unhappiness and difficulty in my course.
51,falta de compreensão da maioria dos professores em relação a alunos que trabalhavam o dia inteiro e viajavam pra estudar no período noturno.,Most teachers lack understanding of students who worked all day and traveled to study at night.
52,não era oque eu queria ,It wasn't what I wanted
53,incompatibilidade de tempo de trabalho e estudo.,Incompatibility of work and study time.
54,entrei na usp dois dias depois da matrícula,I joined USP two days after enrollment
55,escolhi outro curso que tinha maior interesse pela área.,I chose another course that i had a greater interest in the area.
