,Textos_evasao
0,"consegui passar em outra universidade, em uma cidade com muito mais oportunidades de estágio e emprego na área."
1,adaptacao 
2,acabei desistindo da área. virei concurseiro 
3,professores dificultam muito a nossa estadia na faculdade
4,a greve que ocorreu na época. 
5,"eu não consegui prosseguir. o icea cobra muito e ensina pouco! utiliza como paramento de conhecimento alunos que vieram de escolas particulares, e esquecem que o sistema publico esta defasado em conhecimento."
6,muita greve!
7,aprovação em outra universidade (ufmg).
8,dificuldade em conciliar trabalho e estudos
9,passar em uma universidade maior
10,"desligamento por baixo rendimento, devido a problemas psicológicos causados por desmotivação em relação ao curso."
11,falta de didatica de alguns professores.
12,joao monlevade
13,observação: cenário é com “c”.
14,mudança de curso e faculdade
15,mudei para puc-mg e comecei a trabalhar na cemig. 
16,aprovação em minha primeira opção de curso no sisu.
17,- o ambiente em sala de aula me desmotivava.
18,desinteresse por causa de reprovações
19,distância de casa e não pertencimento a cidade de monlevade
20,oportunidade de cursar uma federal em minha cidade 
21,"falta de professores competentes e muitas greves, além das reformas q duraram todo o tempo do curso"
22,meu filho nasceu. =)
23,greves constantes e quando retornava nao havia coro suficiente para todos os alunos 
24,"eu tenho tdah, não sabia disso na época, e não conseguia render nos estudos."
25,distancia entre a faculdade e minha casa
26,dificuldade de alugar imóvel sem burocracia como fiador.
27,dificuldades em algoritmos e estruturas de dados
28,reprovações sucessivas.
29,não estava gostando do curso e surgiu a oportunidade de fazer um curso diferente e mais próximo da minha cidade
30,"os professores não ensinam, a grande maioria, salvo alguns, demonstram desinteresse em relação ao aprendizado dos alunos e em ensinar, são sarcásticos e, devido ao cargo em uma ief, se mostram sentido-se como superiores em relação à outros professores."
31,"a péssima didática de alguns professores, e em alguns casos a má vontade do mesmo em saber ensinar... deixando na maioria das ocasiões o ensino por conta do tutor/monitor."
32,falta de aproveitamento do rendimento de outra faculdade para transferência
33,voltei pra area que sempre gostei e trabalhei
34,estar longe de casa com baixo suporte financeiro.
35,dificuldade em conciliar trabalho e estudo.
36,a dificuldade em relação a matéria principal do curso.
37,"fiz vestibular e passei em curso semelhante na unifei, não estava gostando das instalações da ufop em monlevade. "
38,quem tem um lindo especial na família sabe como é... 
39,proximidade da outra faculdade com a cidade atual dos pais
40,criação da minha própria empresa durante a graduação.
41,aprovação em concurso.
42,"entrei em ec e sai, depois de 2 anos voltei em ep e larguei de novo esse periodo."
43,falta de perspectiva 
44,imaturidade do curso
45,minha matrícula foi cancelada de forma injusta pois apresentei todos os documentos necessários e após 3 meses que já estava estudando minha matrícula foi cancelada 
46,"passei em uma faculdade da minha cidade, no mesmo curso"
47,didática ruim (exceto na disciplina de introdução a engenharia da computação) e muita cobrança nas provas. 
48,a depressão me levou a ter desinteresse pelo curso e por todo o resto.
49,"professores sem compromisso de ensinar, que tem prazer em dar nota baixar mas não tem boa vontade de ensinar. "
50,infelicidade e dificuldade no neu curso.
51,falta de compreensão da maioria dos professores em relação a alunos que trabalhavam o dia inteiro e viajavam pra estudar no período noturno.
52,não era oque eu queria 
53,incompatibilidade de tempo de trabalho e estudo.
54,entrei na usp dois dias depois da matrícula
55,escolhi outro curso que tinha maior interesse pela área.
